프로젝트,인텐트,인텐트 카테고리,No. (TE/TR),발화,TR/TE,담당자,비고,킴블린,데일,슬리,이사벨
대학교 공통봇,공지사항,,6/17,공지사항 보여줘,TE,킴블린,,,,,
대학교 공통봇,공지사항,,6/17,공지사항이 뜬 거 있는지 알고 싶네,TR,킴블린,,,,,
대학교 공통봇,공지사항,,6/17,공지사항이 새로 올라온 게 있는지 알려주세요,TR,킴블린,,,,,
대학교 공통봇,공지사항,,6/17,혹시 공지 올라온 것 있을까요,TR,킴블린,,,,,
대학교 공통봇,공지사항,,6/17,뉴 공지 올라온 거 있냐,TR,킴블린,,,,,
대학교 공통봇,고객정보변경,,18/64,폰 번호 어디에서 수정해,TE,킴블린,,,,,
대학교 공통봇,고객정보변경,,18/64,거주지 주소가 변경되었는데요,TE,킴블린,,,,,
대학교 공통봇,고객정보변경,,18/64,이번에 전화번호를 바꿔서 인적 사항 수정하려고요,TR,킴블린,,,,,
대학교 공통봇,고객정보변경,,18/64,핸드폰 번호 잘못 썼는데 이거 어떻게 고쳐요,TR,킴블린,,,,,
대학교 공통봇,고객정보변경,,18/64,이사 가서 개인정보에 있는 집 주소 수정하려고요,TR,킴블린,,,,,
대학교 공통봇,증명발급안내,,13/53,증명서 발급기 위치,TE,킴블린,,제거 / 인텐트 삭제해도 될 것 같음: 대학교공통봇은 모두가 같이 체크한 프젝이라 일단 삭제 안 했습니다,탈도메인은 아닌 것 같아서 삭제해도 될 것 같음,,제거
대학교 공통봇,증명발급안내,,13/53,증명서 자동 발급기 있는 건물 알려줘,TE,킴블린,,,,,
대학교 공통봇,증명발급안내,,13/53,증명서 떼는 방법 어디서 찾아볼 수 있어,TR,킴블린,,,,,
대학교 공통봇,증명발급안내,,13/53,증명서 발급할 수 있는 주소 좀 줘봐,TR,킴블린,,,,,
대학교 공통봇,증명발급안내,,13/53,공휴일에 증명서 발급 기계 쓸 수 있어,TR,킴블린,,,,,
대학교 공통봇,위치 안내,,1/3,건물 운영시간 안내,TE,킴블린,,,,,
대학교 공통봇,위치 안내,,1/3,건물 이름 나와 있는 지도 찾고 있는 중임,TR,킴블린,,,,,
대학교 공통봇,위치 안내,,1/3,건물마다 운영시간이 어떻게 되는지 알려줄래,TR,킴블린,,,,,
대학교 공통봇,위치 안내,,1/3,건물이 뭐가 뭔지 하나도 모르겠어요 지금,TR,킴블린,,,,,
대학교 공통봇,오시는길 안내,,4/12,갈 때 대중교통 뭐가 있어,TE,킴블린,,,,,
대학교 공통봇,오시는길 안내,,4/12,주차 요금 궁금해요,TE,킴블린,,,,,
대학교 공통봇,오시는길 안내,,4/12,주차권은 어디서 받으면 되나요,TR,킴블린,,,,,
대학교 공통봇,오시는길 안내,,4/12,주차권 구입하고 싶은데 어디서 살 수 있을까요,TR,킴블린,,,,,
대학교 공통봇,오시는길 안내,,4/12,어디가면 주차권 발급할 수 있니,TR,킴블린,,,,,
대학교 공통봇,채용정보,,13/51,취업관련 정보 얻고 싶어,TE,킴블린,,제거,채용정보 또한 탈도메인이라기엔 어색함,,제거
대학교 공통봇,채용정보,,13/51,채용공고 알려줘,TE,킴블린,,,,,제거
대학교 공통봇,채용정보,,13/51,직원모집 정보 알려주면 정말 좋겠어,TR,킴블린,,,,,제거
대학교 공통봇,채용정보,,13/51,신입사원 모집공고 보려면 어디로 들어가야 하나,TR,킴블린,,,,,제거
대학교 공통봇,채용정보,,13/51,공유 좀 부탁해 채용 공고 낸 데가 어딘지,TR,킴블린,,,,,제거
한국투자증권,가능시간,,1/8,영업점 몇시까지 가야되지,TE,킴블린,,,,,
한국투자증권,가능시간,,1/8,영업점 방문 가능시간,TR,킴블린,,,,,
한국투자증권,가능시간,,1/8,지점은 몇시에 열어,TR,킴블린,,,,,
한국투자증권,가능시간,,1/8,영업점은 몇시까지 가야되,TR,킴블린,,,,,
한국투자증권,가능시간,,1/8,지점 문여는 시간,TR,킴블린,,,,,
한국투자증권,개인정보 변경방법,,17/59,회사주소지변경은 어떻게해요,TE,킴블린,,,,,
한국투자증권,개인정보 변경방법,,17/59,등록된 개인정보는 어디서 바꿔,TE,킴블린,,,,,
한국투자증권,개인정보 변경방법,,17/59,이사가서 등록된 집주소를 바꾸고 싶은데요,TR,킴블린,,,,,
한국투자증권,개인정보 변경방법,,17/59,개인정보 주소변경,TR,킴블린,,,,,
한국투자증권,개인정보 변경방법,,17/59,우편물 받는 주소 수정,TR,킴블린,,,,,
한국투자증권,고객등급조회,,10/56,VIP등급인지 어떻게 알아,TE,킴블린,,,금융 도메인 한정이라고 생각,제거,제거
한국투자증권,고객등급조회,,10/56,스마트폰으로 고객등급조회 하는 방법 문의,TE,킴블린,,,,,제거
한국투자증권,고객등급조회,,10/56,고객등급별 서비스를 알려주겠늬,TR,킴블린,,,,,제거
한국투자증권,고객등급조회,,10/56,고객등급을 확인하는 방법은,TR,킴블린,,,,,제거
한국투자증권,고객등급조회,,10/56,어플에서 고객등급 확인하는 방법이 있나요,TR,킴블린,,,,,제거
한국투자증권,고객명 변경방법,,17/42,개명 후 이름 변경 신청,TE,킴블린,,금융 도메인 특성상 '개명'으로 인한 고객명 변경을 무겁게 다루는 듯 - 추후 다른 프로젝트의 '고객정보수정' 인텐트에 일부만 반영하는 것이 좋아보임,,,
한국투자증권,고객명 변경방법,,17/42,온라인으로는 고객명변경이 어렵나요,TE,킴블린,,,,,
한국투자증권,고객명 변경방법,,17/42,개명했는데 이름 어떻게 바꿔요,TR,킴블린,,,,,
한국투자증권,고객명 변경방법,,17/42,개명으로 인한 고객명 변경은 지점 방문만 가능한가요,TR,킴블린,,,,,
한국투자증권,고객명 변경방법,,17/42,개명해서 고객명 바꾸려면,TR,킴블린,,,,,
한국투자증권,고객센터 상담_번호안내,,16/67,상담직원이랑 전화하고 싶은데,TE,킴블린,,,,,
한국투자증권,고객센터 상담_번호안내,,16/67,고객센터상담가능시간,TE,킴블린,,,,,
한국투자증권,고객센터 상담_번호안내,,16/67,콜센터 번호 몇번,TR,킴블린,,,,,
한국투자증권,고객센터 상담_번호안내,,16/67,상담사 통화 어떻게해,TR,킴블린,,,,,
한국투자증권,고객센터 상담_번호안내,,16/67,외국에서 상담원이랑 통화할려면,TR,킴블린,,,,,
한국투자증권,비밀번호 변경 방법,,9/60,ID비밀번호 바꿀 수 있어요,TE,킴블린,,ID에 대한 내용 포함 - ID 변경 인텐트와 합치면 좋을 것 같음,,,
한국투자증권,비밀번호 변경 방법,,9/60,비밀번호 변경 방법,TE,킴블린,,,,,
한국투자증권,비밀번호 변경 방법,,9/60,비밀번호 바꿀려면 지점 가야하니,TR,킴블린,,,,,
