시나리오,블록(인텐트),해당 분야,기존 인텐트,발화,TE/TR,No. (TE/TR),삭제,비고
가입문의,간편로그인,일반,회원가입로그인오류,간편로그인은 회원가입 해야 되지,TR,,FALSE,-
가입문의,간편로그인,일반,회원가입로그인오류,간편로그인하면 따로 회원가입 안해도 되,TR,,FALSE,
가입문의,간편로그인,일반,회원가입로그인오류,간편 로그인 후 연결 끊었을 때,TR,,FALSE,
가입문의,기본,일반,,회원가입 문의합니다,TE,,FALSE,
가입문의,기본,일반,,가입 방법을 말해줘,TE,,FALSE,
가입문의,기본,일반,,가입은 어떻게 할까,TE,,FALSE,
가입문의,기본,일반,,회원이 되고 싶어요,TE,,FALSE,
가입문의,기본,일반,,회원 되는 방법,TE,,FALSE,
가입문의,기본,일반,,회원으로 가입할게요,TE,,FALSE,
가입문의,기본,일반,,회원 가입 오류 발생,TE,,FALSE,
가입문의,기본,일반,가입방법문의,가입할 때 오류 생겼어요,TE,,FALSE,
가입문의,기본,일반,가입방법문의,회원가입 방법 말해주세요,TE,,FALSE,
가입문의,기본,일반,가입방법문의,회원 가입이 잘 안돼요,TE,,FALSE,
가입문의,기본,일반,가입방법문의,회원 가입 어떤 식으로 할 수 있어,TE,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 복잡함,TE,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 창에서 동일 현상 발생,TE,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 시 다음 단계가 뭐죠,TE,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입이 됐는지 확인도 안 됨,TE,,FALSE,
가입문의,기본,일반,가입,가입 절차가 궁금해요,TE,,FALSE,
가입문의,기본,일반,가입,가입 방법 알려주세요,TE,,FALSE,
가입문의,기본,일반,가입,가입하고 싶어요,TE,,FALSE,
가입문의,기본,일반,가입,가입은 어떻게 하나요,TE,,FALSE,
가입문의,기본,일반,가입방법문의,가입하는 방법이 뭐예염,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원으로 가입하려면 뭘 누를까여,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원이 되고 싶습니다만,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원하고 싶은뎅 어케 하면 좋을까유,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원가입 어떻게 하는지 자세히 보여줘여,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원가입 방법 좀 알려줘,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원 계정을 생성 하고 싶어요,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원 계정 만드는 법 좀,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원가입 어디에다 가능합니까,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원가입 절차 문의 드려요,TR,,FALSE,
가입문의,기본,일반,가입방법문의,질문 드립니다 회원등록 방법,TR,,FALSE,
가입문의,기본,일반,가입방법문의,질문 있어요 여기 회원이 되는 방법,TR,,FALSE,
